"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"loop39"	593.1280082958	2.60559461683112	0.201562312195535	12.9269930893799	3.16974837591871e-38	2.78937857080846e-36
"loop42"	435.685372745341	1.60958823811434	0.188708960582057	8.52947434583763	1.47014194058771e-17	6.46862453858592e-16
"loop38"	302.414160508129	2.5228534562796	0.340800663627404	7.40272459984943	1.33418266038315e-13	3.91360247045724e-12
"loop49"	175.725518558111	1.84129680399265	0.309633617361012	5.9466953869089	2.73609894888268e-09	6.0194176875419e-08
"loop56"	99.5858575465017	1.75819990606319	0.35231641859375	4.99040014394146	6.02543429325732e-07	1.06047643561329e-05
"loop55"	139.471266060495	1.90563947533989	0.40432621340923	4.71312374053556	2.43947955186492e-06	3.57790334273522e-05
"loop54"	158.700822721767	-0.837694968964443	0.229918061556059	-3.64345003300314	0.000269007893479208	0.00295908682827129
"loop59"	132.453819546512	-0.874763548407176	0.239713013354867	-3.64921176437005	0.000263046200862788	0.00295908682827129
"loop63"	89.194992120985	1.41051310804806	0.427637588594494	3.29838429938761	0.000972429459387032	0.00798150264095687
"loop69"	39.1836800789223	-1.74952174390661	0.531579202040659	-3.2911779414816	0.000997687830119608	0.00798150264095687
"loop81"	298.821568823952	-0.772857012486486	0.233813863252657	-3.30543707603574	0.000948283942050743	0.00798150264095687
"loop32"	240.137404898763	-0.710269165179624	0.219285808888203	-3.23901108229824	0.00119944912843341	0.00879596027517835
"loop57"	100.477157185517	1.23541750761231	0.385560750418438	3.20420972900262	0.00135433780017405	0.00916782510887048
"loop41"	252.095212007834	0.860251325043246	0.277658946724024	3.0982301675958	0.00194680164422217	0.0122370389065394
"loop64"	81.754025182411	1.33937892285173	0.441831456386653	3.03142500039568	0.00243402380289468	0.0133871309159208
"loop87"	435.372024058608	-0.511316800843735	0.168562401903274	-3.03339769171742	0.00241816690295619	0.0133871309159208
"loop12"	362.871672171862	0.681510954178679	0.228164583933957	2.98692699115804	0.00281797010588476	0.0145871393716388
"loop60"	257.33669485656	-0.5293466201223	0.182188139395557	-2.90549440747628	0.0036667340163782	0.0179262551911823
"loop86"	295.087808362106	-0.511297403720332	0.186190826476394	-2.74609342144553	0.00603095873605572	0.0279328615143634
"loop52"	325.659644512462	-0.518907617772031	0.198375061401276	-2.61579058429314	0.00890211372296967	0.0391693003810666
"loop79"	1046.1509648957	-0.293372573175165	0.115633941848968	-2.53708010368052	0.0111781373667943	0.0468417184894239
"loop47"	180.871428155336	-0.559546091295754	0.224426791666386	-2.49322323391554	0.0126589230563901	0.0506356922255604
"loop50"	194.979674175977	0.60882694502103	0.249532965977973	2.4398657814005	0.0146927196911998	0.0562156231663296
"loop9"	360.535581083667	0.523755815912527	0.219414029416502	2.38706621133287	0.0169834322502603	0.0590941437269715
"loop24"	312.835390483184	-0.463375140468075	0.193327601512961	-2.39683902785609	0.0165371869705938	0.0590941437269715
"loop73"	749.921897851827	0.363640693355495	0.152990584700335	2.37688282627173	0.017459633373878	0.0590941437269715
"loop25"	218.039161150166	-0.589115995369539	0.25157356721973	-2.34172453759815	0.0191948760466658	0.0625610774854293
"loop85"	289.999012095688	-0.472518591371424	0.205218040059506	-2.30251975525354	0.0213058786535483	0.0669613329111519
"loop2"	341.846585547541	-0.419664007695645	0.192262806378741	-2.18276231165036	0.0290533184697589	0.0827389846974389
"loop4"	185.936503100926	-0.506980310623035	0.232034114461167	-2.18493867507522	0.0288933433163976	0.0827389846974389
"loop17"	74.2953363303179	-0.759068996099382	0.351954510961353	-2.15672472566415	0.0310271192615396	0.0827389846974389
"loop34"	205.643359139846	-0.580535788247748	0.266169613726857	-2.18107461674229	0.0291778979513592	0.0827389846974389
"loop88"	381.563769270882	-0.417568294159398	0.193148303679806	-2.16190505535906	0.0306254952623772	0.0827389846974389
"loop83"	843.096377519553	-0.305760376607188	0.148546666523151	-2.05834559444345	0.0395569703276285	0.102382746730333
"loop8"	228.374833953156	-0.465335953042478	0.232653716598686	-2.00012258495382	0.0454870285586376	0.114367386090289
"loop5"	189.001634763177	-0.454031995312543	0.229667457399227	-1.97691044457948	0.0480517540079958	0.117459843130656
"loop66"	175.087586136342	0.486007729253314	0.247600675822191	1.96286915469621	0.0496613797036269	0.118113551727545
"loop70"	610.734004494981	-0.313206521244911	0.164614537289688	-1.90266623107369	0.0570841109547434	0.132194783263616
"loop48"	367.753664774549	-0.272043884744634	0.147474610406936	-1.84468285079016	0.0650836869557265	0.146855498771896
"loop26"	123.240343163708	0.501586446762547	0.276879776914843	1.81156764987143	0.0700530273066663	0.154116660074666
"loop1"	477.379335834555	0.299988861851783	0.176121893723705	1.70330249981525	0.0885114730308994	0.189975844554126
"loop29"	105.029872068831	0.556058410179423	0.33393007190877	1.66519417374108	0.0958740229831757	0.191748045966351
"loop72"	440.63511304311	-0.273187247480879	0.162490240763285	-1.68125326295047	0.0927137317842174	0.191748045966351
"loop80"	1235.09830282499	-0.173214756882847	0.103670594900007	-1.67081858698619	0.0947575160693361	0.191748045966351
"loop20"	631.650250062613	0.272527574519178	0.165437483987856	1.64731455018491	0.0994934087212807	0.19456488816606
"loop37"	164.129077810081	-0.470817740633534	0.289599741104046	-1.62575332021578	0.104002142190017	0.198960619841771
"loop21"	396.691164749443	0.345323552266581	0.218902196784614	1.57752438001505	0.114674916874148	0.214710482657979
"loop16"	657.845003111868	-0.213137469726879	0.148594416756518	-1.43435718770053	0.151470358365641	0.27248869464448
"loop45"	197.582177942217	-0.356262257837763	0.248533244278456	-1.43345916910258	0.151726659517949	0.27248869464448
"loop22"	533.986272449406	-0.235129473887638	0.17147595962287	-1.3712095526671	0.170309641174938	0.295742393217993
"loop44"	434.347981103264	-0.254765112806345	0.18626837710841	-1.3677314247392	0.171396159705882	0.295742393217993
"loop10"	422.392223429704	-0.243064090384407	0.195812650584591	-1.24130943357719	0.214491461103577	0.3629855495599
"loop18"	389.182240417467	0.219509044588703	0.189060867898033	1.16104959756712	0.245621730155679	0.407824759503769
"loop51"	285.29666662244	-0.262686130833115	0.235664203167113	-1.11466284358359	0.264994929176422	0.431843588287503
"loop30"	188.509442878361	-0.251687211877947	0.266878428983972	-0.943078137997669	0.345640937135853	0.553025499417364
"loop35"	466.355762215159	-0.151582259361527	0.172870195307609	-0.876855950164214	0.380564884771446	0.598030533212272
"loop82"	503.39253480429	-0.146373269440336	0.178399256005802	-0.820481389426734	0.411941734360234	0.625015045236217
"loop84"	242.057986941863	-0.213635255762986	0.258985045079744	-0.824894177566145	0.409431672216187	0.625015045236217
"loop53"	145.541095041598	0.201152301731841	0.252407713377106	0.796934051818424	0.425489333229051	0.63462815803655
"loop11"	317.384901868725	-0.13987544231811	0.201164211447329	-0.695329657853845	0.486848732066316	0.669417006591185
"loop28"	117.890731503803	0.222814530708095	0.307860683506493	0.723751172674167	0.469218510629827	0.669417006591185
"loop40"	157.289874924788	0.191060234333321	0.265797344190891	0.71881920007487	0.472252326015769	0.669417006591185
"loop65"	126.33909921722	0.19421740279859	0.276957374962683	0.701253768110556	0.483144660092456	0.669417006591185
"loop78"	532.296407756106	0.114829790588536	0.156029217527788	0.735950563669818	0.46176078392357	0.669417006591185
"loop23"	233.01168946748	0.179186620292896	0.266884281324688	0.671401925222043	0.501964518802105	0.676993925502866
"loop61"	122.888555592313	-0.188314376637168	0.289539475354357	-0.650392753550088	0.515438556916955	0.676993925502866
"loop75"	869.274195009588	0.0841190224622494	0.127417651893972	0.660183429939889	0.5091361244119	0.676993925502866
"loop36"	837.839848366624	-0.076195773899958	0.130110160383836	-0.585625086274387	0.55812748644927	0.722282629522584
"loop43"	414.963414033671	0.103729277431435	0.212200435550193	0.488826882765277	0.624964264059224	0.787351879603957
"loop62"	167.566021134645	0.125082600669058	0.256876095475498	0.486937488042709	0.626302631503147	0.787351879603957
"loop6"	355.64692164063	-0.08711604179621	0.196336113682054	-0.443708700159387	0.657253204513594	0.806027906938147
"loop7"	217.631630704447	-0.09898557667482	0.261302887420453	-0.378815472159502	0.704824897074057	0.806027906938147
"loop13"	221.787376380386	-0.111144116266156	0.255844363218811	-0.43442081298113	0.663982886658454	0.806027906938147
"loop31"	336.9310968648	-0.0740503309170599	0.189995209845794	-0.389748409852866	0.696722595738383	0.806027906938147
"loop58"	175.787673195669	-0.0917170077026217	0.23066954008427	-0.397612132356595	0.690916116015938	0.806027906938147
