"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"loop39"	593.1280082958	2.90738645275342	0.21708276169637	13.3929862971798	6.64540716880281e-41	5.84795830854648e-39
"loop48"	367.753664774549	2.84364770504784	0.233838026156341	12.160758247021	5.02897218582753e-34	2.21274776176412e-32
"loop42"	435.685372745341	1.71771622421135	0.193090663162808	8.89590514670833	5.79450572534065e-19	1.69972167943326e-17
"loop38"	302.414160508129	2.59387089468275	0.348037003983402	7.45285950917577	9.13385341375879e-14	1.60755820082155e-12
"loop49"	175.725518558111	3.88317424823255	0.520018249446429	7.4673807166696	8.18068252601518e-14	1.60755820082155e-12
"loop50"	194.979674175977	2.9699985339688	0.409602632679532	7.25092637842612	4.13930646464888e-13	6.07098281481835e-12
"loop47"	180.871428155336	2.8183950306581	0.393778987388113	7.15730173758678	8.22804616569134e-13	1.03438294654405e-11
"loop56"	99.5858575465017	1.96841531132224	0.370377136150185	5.31462425511079	1.06877632528346e-07	1.17565395781181e-06
"loop83"	843.096377519553	-0.736600318841736	0.143944580058152	-5.11724942018767	3.10023532049159e-07	3.03134120225845e-06
"loop41"	252.095212007834	1.5510587643518	0.312988179354986	4.95564646418361	7.20901933864053e-07	6.34393701800367e-06
"loop58"	175.787673195669	1.3687966582406	0.284277127552501	4.8150080522669	1.47193954644354e-06	1.10711149754773e-05
"loop79"	1046.1509648957	-0.543230466467939	0.112938953602876	-4.80994775618415	1.50969749665599e-06	1.10711149754773e-05
"loop64"	81.754025182411	2.7412880157264	0.585703050466517	4.68033761057406	2.8640288937198e-06	1.93872725113341e-05
"loop65"	126.33909921722	1.31030364974684	0.323746866388102	4.04730913495878	5.18097975642775e-05	0.000325661584689744
"loop80"	1235.09830282499	-0.391121229413941	0.101623079731998	-3.84874410857662	0.000118724948881337	0.000696519700103844
"loop55"	139.471266060495	1.3561042201622	0.370611232002053	3.65910178392728	0.000253100806876987	0.00139205443782343
"loop54"	158.700822721767	-0.808716577224021	0.230991878425421	-3.5010606551915	0.000463410359462905	0.00239883009604327
"loop86"	295.087808362106	-0.628443434222254	0.184270651402765	-3.41043692762907	0.00064858883580657	0.00317087875283212
"loop2"	341.846585547541	-0.602460884756066	0.189353737572907	-3.1816688304032	0.00146429149556295	0.00664391612909618
"loop63"	89.194992120985	1.34229810688578	0.423069744025826	3.1727584537547	0.00150998093843095	0.00664391612909618
"loop85"	289.999012095688	-0.608810680315945	0.203038786544094	-2.99849447821502	0.00271317072791452	0.0113694773360228
"loop32"	240.137404898763	-0.643273571801886	0.221204493766511	-2.90804929343291	0.003636910051992	0.014547640207968
"loop81"	298.821568823952	-0.67786185327436	0.236222821209636	-2.86958664621481	0.00411008706514137	0.0157255505101061
"loop1"	477.379335834555	-0.461160246626334	0.162375813989245	-2.84007966024348	0.00451022693863744	0.016537498775004
"loop52"	325.659644512462	-0.549373686046819	0.198401951268687	-2.76899336187891	0.00562297808498047	0.0197928828591312
"loop20"	631.650250062613	0.440296207987944	0.16974839100863	2.59381667992105	0.00949170816353295	0.032125781476573
"loop30"	188.509442878361	-0.657969462282928	0.256869080822076	-2.56149732064748	0.0104222045184213	0.0339686665785582
"loop37"	164.129077810081	-0.71164985155022	0.284486194241254	-2.50152684367775	0.0123659067500487	0.0388642783572959
"loop35"	466.355762215159	-0.408117728571934	0.168625451189076	-2.42026174396605	0.0155093390319372	0.0454940611603492
"loop59"	132.453819546512	-0.597729592977693	0.245803074593037	-2.43174172645042	0.0150264178726997	0.0454940611603492
"loop66"	175.087586136342	0.603535598987504	0.252023346663369	2.39476067188987	0.0166312169347808	0.0472111964600229
"loop34"	205.643359139846	-0.60088471151313	0.266312989281497	-2.25631019025507	0.0240512116537446	0.0661408320477975
"loop87"	435.372024058608	-0.383722194069971	0.17131879263343	-2.23981378908628	0.0251030143048416	0.0669413714795775
"loop68"	836.947900996547	-0.325392261246374	0.147600522344111	-2.20454681378271	0.0274859114745006	0.0691074345644586
"loop82"	503.39253480429	-0.385975116975602	0.174636732659421	-2.21015997664327	0.0270940615758587	0.0691074345644586
"loop53"	145.541095041598	0.589482647697656	0.26894044030587	2.19187061279155	0.0283888505725779	0.0693949680663015
"loop73"	749.921897851827	0.330693017534317	0.152869909337331	2.16323159324044	0.0305233714658431	0.0725961267295729
"loop25"	218.039161150166	-0.537459998992411	0.253261092805373	-2.12215778206975	0.0338244904748895	0.078330398994481
"loop3"	744.399059060013	-0.280103301525268	0.141088878854915	-1.98529681289272	0.0471114584294175	0.106302777994583
"loop18"	389.182240417467	0.378015429196737	0.193646926649723	1.95208586956047	0.0509280105825661	0.108045149131501
"loop60"	257.33669485656	-0.361382627208125	0.184545692253926	-1.95822846252559	0.0502032107295115	0.108045149131501
"loop76"	211.69299508653	-0.557560802261541	0.286408767333675	-1.94673091697632	0.05156700299458	0.108045149131501
"loop69"	39.1836800789223	-1.05710307150535	0.554610657800458	-1.90602733041183	0.0566466598511065	0.115928048067381
"loop57"	100.477157185517	0.587451731773932	0.353727183508033	1.66074805432812	0.0967640578081405	0.193528115616281
"loop61"	122.888555592313	-0.455477255538744	0.283080628325911	-1.60900185304928	0.107615936435784	0.210448942363311
"loop11"	317.384901868725	0.339960879281211	0.214777860723112	1.58284880078717	0.113455930690966	0.217046128278369
"loop16"	657.845003111868	-0.221575648439624	0.148822079784959	-1.48886273300166	0.136523518782143	0.255269097925811
"loop84"	242.057986941863	-0.378882359534011	0.256237790035587	-1.478635760484	0.139237689777715	0.255269097925811
"loop22"	533.986272449406	-0.220208156665143	0.172116285073455	-1.27941499882572	0.200750954852732	0.360532327082458
"loop7"	217.631630704447	0.319970044637461	0.27421230105043	1.16686976992551	0.243262965687328	0.419747862362448
"loop10"	422.392223429704	-0.229777518064981	0.196536034086708	-1.16913684115355	0.242348502754757	0.419747862362448
"loop62"	167.566021134645	-0.26569674225347	0.245633289544798	-1.08168051140728	0.279394515733463	0.472821488164321
"loop14"	217.454884081436	0.290877395078131	0.278089403300178	1.0459851818379	0.295567873924253	0.489345034660671
"loop24"	312.835390483184	-0.202480810789881	0.197933192564924	-1.02297552101306	0.306319419937233	0.489345034660671
"loop40"	157.289874924788	-0.259064757329646	0.253339583423941	-1.02259881313582	0.306497571003758	0.489345034660671
"loop51"	285.29666662244	0.2436859282917	0.246324867581363	0.989286752427495	0.322522863753624	0.489345034660671
"loop78"	532.296407756106	0.158221953356109	0.157293020290655	1.00590574879761	0.314460910606342	0.489345034660671
"loop88"	381.563769270882	-0.19593990834044	0.197480522542033	-0.99219865239487	0.321100629763963	0.489345034660671
"loop15"	198.072170723578	-0.264825155657667	0.271354808286601	-0.975936845673885	0.32909576166456	0.49085469536409
"loop21"	396.691164749443	0.196958972170132	0.214017057597997	0.920295673535022	0.357418269355402	0.522561695972607
"loop77"	305.861589217583	-0.170042491723103	0.186629450190255	-0.911123574279179	0.362230266526466	0.522561695972607
"loop6"	355.64692164063	-0.170159401127658	0.194894309711527	-0.873085527122468	0.382616461881977	0.524453915426657
"loop12"	362.871672171862	0.190906512926746	0.214942255551887	0.888175814646468	0.374446186174625	0.524453915426657
"loop17"	74.2953363303179	-0.322021813171695	0.365452395871467	-0.88115939807644	0.378231551654167	0.524453915426657
"loop75"	869.274195009588	0.1108038171178	0.128189199854785	0.864377164716841	0.387380732985599	0.524453915426657
"loop4"	185.936503100926	-0.197920058066349	0.239130524820366	-0.827665385734531	0.407860027290835	0.540198294484671
"loop29"	105.029872068831	0.263786314529141	0.321052319868455	0.821630301993215	0.411287337846283	0.540198294484671
"loop26"	123.240343163708	0.208852606925391	0.266224934444329	0.784496791637167	0.432748663774299	0.560027682531446
"loop45"	197.582177942217	-0.17619716750504	0.253424878139188	-0.695263893579808	0.486889937353888	0.620961079523799
"loop46"	96.9464129632552	0.2130941966151	0.312289754965869	0.682360510476526	0.495011019460994	0.622299567322392
"loop13"	221.787376380386	-0.134528143576198	0.255715667398625	-0.526084869749052	0.598829240676952	0.73190240527183
"loop74"	287.396753057347	-0.121033113337572	0.225692505878332	-0.536274400722988	0.59176892010315	0.73190240527183
"loop70"	610.734004494981	-0.0822338096800465	0.169336776960503	-0.485622858519549	0.627234586533094	0.75611840568373
"loop5"	189.001634763177	-0.07672089291572	0.240784385251956	-0.318629020878739	0.750007844110653	0.89190122002348
"loop28"	117.890731503803	0.0868309220177583	0.303133718389324	0.286444287620418	0.774537858424795	0.896833309755026
"loop33"	189.118795368832	-0.0768741164450247	0.264081456480458	-0.291100016902221	0.770974826999987	0.896833309755026
"loop19"	107.438840492008	-0.103239860187563	0.400803945568313	-0.25758194580938	0.796729564797303	0.905659471388723
"loop44"	434.347981103264	-0.0473072463456293	0.189382060813356	-0.249797927757543	0.802743622367277	0.905659471388723
"loop9"	360.535581083667	0.047955355756229	0.206060540923667	0.232724594147278	0.815975270144336	0.908934478135462
"loop8"	228.374833953156	-0.02689240939587	0.244112563277747	-0.110163971222048	0.912279335114829	0.961186040693154
"loop27"	108.248526818306	-0.0337404964937094	0.325716037044476	-0.103588686635967	0.917495766116192	0.961186040693154
"loop31"	336.9310968648	0.0241011851555771	0.191837406035381	0.125633397853242	0.900022124741397	0.961186040693154
"loop43"	414.963414033671	-0.0246838541635289	0.210718205359953	-0.117141535641704	0.906747895611654	0.961186040693154
"loop72"	440.63511304311	-0.0222581198614832	0.167611324610745	-0.132796038174477	0.894354687688401	0.961186040693154
"loop36"	837.839848366624	-0.0113695976986991	0.131126575139004	-0.0867070438364342	0.93090437733575	0.963759825947601
"loop23"	233.01168946748	-0.0174299656248414	0.262694952772718	-0.066350591973199	0.947098705361746	0.969124256649229
"loop71"	1341.43671107032	0.00260241597908678	0.11697002261476	0.0222485720778034	0.982249672250252	0.993539898368071
"loop67"	747.003338532274	-0.000800650611519609	0.149109385507435	-0.00536955208282101	0.995715737882072	0.995715737882072
