"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"loop67"	944.899843303285	1.05886020278342	0.145233164481545	7.29076038908435	3.08210496126583e-13	2.71225236591393e-11
"loop48"	420.838128056605	-1.49436597417422	0.215384747194101	-6.93812349129589	3.97342322194315e-12	1.74830621765499e-10
"loop31"	378.84126458945	-1.97963632746776	0.296389444895421	-6.67917283007923	2.4029464649158e-11	7.04864296375303e-10
"loop68"	1059.58641554625	0.958190482924245	0.1450929171569	6.60397834504959	4.00268020112277e-11	7.96710348100405e-10
"loop71"	1690.13885490722	0.801864954636889	0.121758070337143	6.58572324952719	4.52676334147957e-11	7.96710348100405e-10
"loop60"	248.199307974081	-1.50437397186488	0.273335691873564	-5.50375972326642	3.71776160339226e-08	5.45271701830865e-07
"loop9"	461.581255244645	1.08692838187224	0.20111613603394	5.40448122814379	6.49962296790327e-08	8.17095458822126e-07
"loop12"	463.299817720195	1.01245634152918	0.19690743774168	5.14178820841397	2.72135791195409e-07	2.9934937031495e-06
"loop24"	356.021201978746	-1.3306896168296	0.282805288945582	-4.70532082971634	2.53467027666133e-06	2.23704991045277e-05
"loop52"	333.793631999565	-1.2678787174731	0.269490589978018	-4.70472352142804	2.54210217096905e-06	2.23704991045277e-05
"loop4"	209.370218112288	-1.74341515294962	0.394146467010015	-4.42326723406942	9.72193656388273e-06	7.77754925110618e-05
"loop22"	652.150176883556	0.753214643024753	0.172822254770072	4.35831973160432	1.310648141334e-05	9.61141970311597e-05
"loop65"	153.474160624588	-1.92574979080953	0.447050584642757	-4.30767760285655	1.64977614984908e-05	0.000111677154759015
"loop46"	113.146681327582	-2.25253708084794	0.573052306456564	-3.93077046452596	8.46740813207928e-05	0.00053223708258784
"loop53"	178.636274620189	-1.47940007512949	0.400129545196497	-3.69730276828965	0.00021790239803396	0.00127836073513256
"loop79"	1274.52214668611	0.487091313533381	0.133985296517737	3.63540870672253	0.000277540269568824	0.00152647148262853
"loop57"	126.230515188012	-1.83611760713155	0.521023291672555	-3.52406051030342	0.000424987183942834	0.00219993365805702
"loop10"	522.78344279727	0.685439932595139	0.203713945836492	3.36471776529869	0.000766219929263386	0.00354307636425765
"loop39"	797.393446118157	-0.535823168183194	0.160119621391763	-3.34639292502573	0.000818702921765954	0.00354307636425765
"loop61"	138.442651293786	-1.53774021531875	0.460752922470646	-3.33745081219037	0.000845506859652394	0.00354307636425765
"loop66"	212.956626758539	-1.0502359918035	0.312981773741233	-3.35558195370129	0.000791981869145197	0.00354307636425765
"loop83"	1022.78140421903	0.500222307446637	0.155999770095365	3.20655797852037	0.00134333231944506	0.00537332927778023
"loop70"	769.460813631543	0.581813448947219	0.182505065433041	3.18793041478993	0.0014329501617789	0.00548259192332796
"loop56"	129.620687101807	-1.1989273921317	0.384285051563547	-3.11989078746001	0.00180918103811042	0.00663366380640488
"loop21"	520.834635354094	0.65925435569644	0.218565143547578	3.01628313186604	0.00255894194664811	0.00866103428096283
"loop40"	185.616024891585	-1.11855468061441	0.369781134671796	-3.0249100771655	0.0024870705995706	0.00866103428096283
"loop17"	79.3228555871123	-1.84907056662174	0.629050904878824	-2.93946094390871	0.00328783704798963	0.0107159133415958
"loop35"	570.102509392063	0.548756358235346	0.187563148538464	2.92571521917489	0.00343665372271904	0.0108009116999741
"loop87"	527.869241195827	0.556997643407328	0.192441826205159	2.89436893419168	0.00379921480739618	0.0115286518293401
"loop11"	398.253181598266	0.571102539332293	0.213582551839005	2.6739194490137	0.00749704565850774	0.0212819360628607
"loop77"	364.457907965559	0.544650394019744	0.20355293909583	2.67571864321414	0.00745692163720311	0.0212819360628607
"loop64"	107.636889157514	-1.37496818566617	0.520043722628969	-2.6439472795005	0.00819454185143914	0.0225349900914576
"loop19"	125.547091584349	-1.6650187315674	0.636274933456517	-2.61682276641373	0.00887524107403847	0.0236673095307693
"loop3"	883.340249057532	-0.436273241128618	0.167776242273255	-2.60032788443352	0.00931347255490236	0.0241054583773943
"loop58"	212.405797232774	-0.778153448771773	0.302105924609969	-2.57576361594497	0.010001899812464	0.0251476338141952
"loop63"	116.494924269204	-1.28290701108835	0.51004613142515	-2.51527642706298	0.0118939087472737	0.0290739991600023
"loop6"	439.251583028774	0.51885903401111	0.207154489914365	2.50469605667538	0.0122556660722887	0.0291486111989569
"loop50"	253.578197978376	-0.721278387441613	0.289113758489038	-2.49479094738053	0.0126031357174533	0.0291862090298919
"loop81"	363.203858464443	0.631877283603256	0.25923042299699	2.43751206474169	0.0147887207165659	0.0333694211040461
"loop42"	567.784407335223	-0.425567632783129	0.182509387896688	-2.33175749306676	0.0197134523643457	0.0433695952015605
"loop20"	813.214616679968	0.384467104968474	0.173505134743637	2.21588315260263	0.026699505643064	0.0573062560143814
