"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"loop36"	996.495804190403	1.49383006268209	0.117473994272481	12.7162617729431	4.80293586753361e-37	3.93840741137756e-35
"loop42"	567.784407335223	1.24922815255503	0.142746644521129	8.75136614766539	2.10785257345503e-18	8.64219555116561e-17
"loop48"	420.838128056605	1.14789210618653	0.144588689014558	7.93901731878178	2.03789321379163e-15	5.57024145103047e-14
"loop60"	248.199307974081	1.24955604884294	0.181161512767549	6.89746972054854	5.29369216424168e-12	1.08520689366954e-10
"loop43"	499.547995647932	1.19938179830196	0.18543746323426	6.46785054855286	9.94067385276951e-11	1.6302705118542e-09
"loop44"	504.510494499684	1.06644095601183	0.168086295801611	6.34460382939564	2.22998548605572e-10	3.04764683094281e-09
"loop52"	333.793631999565	1.01907873444879	0.193043019786379	5.27902399981361	1.29873795427135e-07	1.52137874643216e-06
"loop73"	939.291832551749	0.573677712002509	0.133559375246049	4.29530095469265	1.74456504840005e-05	0.000178817917461005
"loop50"	253.578197978376	-0.670853415634288	0.183342968452374	-3.65900814902838	0.000253193289935127	0.00230687219718671
"loop38"	409.401066035889	-0.579301610642984	0.181343097935503	-3.19450597920755	0.00140070383628064	0.0114857714575012
"loop39"	797.393446118157	0.363738990751476	0.120660771618767	3.01455879878446	0.00257353321783819	0.0191845203511574
"loop81"	363.203858464443	-0.614301689142069	0.205665451008953	-2.98689782911242	0.00281823891704048	0.01925796593311
"loop37"	192.050679442343	-0.68595015155338	0.254996789495494	-2.69003446243586	0.00714446405705901	0.0450650809752953
"loop49"	234.958097405343	-0.515039758413393	0.201591435444155	-2.55486924471089	0.0106227693968406	0.0580711393693953
"loop78"	661.694685559885	0.320883812227542	0.12522231328114	2.5625130523433	0.0103917681533468	0.0580711393693953
"loop77"	364.457907965559	0.406181861635235	0.166989678460998	2.43237705095709	0.0150000831533113	0.0768754261607206
"loop9"	461.581255244645	0.420679960822549	0.175248249641742	2.40048024264174	0.0163735746242808	0.0778519534720271
"loop41"	331.664577772903	-0.498619864596409	0.210849028798477	-2.36481935647413	0.0180388672679087	0.0778519534720271
"loop47"	216.079147022828	-0.477354266273986	0.20131666426104	-2.37116121522369	0.0177322946805199	0.0778519534720271
"loop12"	463.299817720195	0.399718561076368	0.171193044126509	2.33489954639152	0.0195486690646794	0.0801495431651854
"loop51"	344.493822538607	-0.439809014763961	0.19671682981835	-2.2357467592889	0.025368364213264	0.0990574221660785
"loop8"	276.495896677717	-0.408313401239277	0.196217941490345	-2.08091776999591	0.0374414333390501	0.133486849295744
"loop32"	283.110152063725	-0.408758079394851	0.19612893482842	-2.08412940065395	0.0371483983788328	0.133486849295744
"loop88"	458.725990742247	0.328054857590789	0.176209001848361	1.86173722198995	0.0626401392152181	0.214020475651995
"loop68"	1059.58641554625	0.225965117007187	0.122739706552103	1.84101073201821	0.0656199860096058	0.215233554111507
"loop25"	259.451145732969	-0.340954791325795	0.22198981867311	-1.53590283267841	0.124562213311631	0.392850057367451
"loop31"	378.84126458945	0.254372662862988	0.172438427970192	1.47515067179202	0.140172039900435	0.425707676734654
"loop71"	1690.13885490722	0.152155172921405	0.105646306153871	1.44023183072577	0.149801820483294	0.428221417712966
"loop86"	344.91578780183	-0.23384391270537	0.163020020371461	-1.43444904602838	0.151444159922878	0.428221417712966
"loop55"	182.706053298609	-0.37804885040085	0.267842063386763	-1.41146183545842	0.158108481206457	0.432163181964315
"loop10"	522.78344279727	0.216329724577479	0.170005670001973	1.27248535048842	0.203200725842943	0.483596851155285
"loop14"	275.787904027387	0.286105158955227	0.220578222453405	1.2970689298925	0.194607470811131	0.483596851155285
"loop24"	356.021201978746	-0.211956603796026	0.167754928631456	-1.2634895768796	0.206413290127256	0.483596851155285
"loop59"	134.949636772868	-0.293615233232547	0.22867147015216	-1.28400465977313	0.199140324989413	0.483596851155285
"loop72"	532.446222645708	0.188166270353797	0.143747844786757	1.3090023758821	0.190533545937423	0.483596851155285
"loop26"	148.093553755812	0.274528670019692	0.222966197276761	1.23125690518428	0.218226794281894	0.49707214253098
"loop1"	582.169040589598	0.17696296060789	0.146793944970056	1.2055194827279	0.228002821454869	0.499655767017029
"loop53"	178.636274620189	-0.242267380237156	0.202500139182805	-1.19638130232815	0.231547794471306	0.499655767017029
"loop22"	652.150176883556	0.169443501332812	0.146013508797663	1.16046455378054	0.245859717346283	0.516935815958851
"loop67"	944.899843303285	0.141195097011284	0.125123053961888	1.12844989424804	0.259129966375923	0.531216431070643
"loop58"	212.405797232774	-0.213691547103276	0.200016298100887	-1.06837067345128	0.28535334030434	0.560474810309631
"loop82"	619.494244295778	-0.161862935602014	0.152045966356919	-1.06456579862204	0.287072463817128	0.560474810309631
"loop56"	129.620687101807	0.239806975319397	0.228930786127402	1.04750863514679	0.294865051641089	0.562300796152775
"loop3"	883.340249057532	0.128802953676142	0.127193611683383	1.01265269514294	0.31122608047156	0.563055382801299
"loop6"	439.251583028774	0.157821870451689	0.163616004200663	0.964586998825202	0.334751713903808	0.563055382801299
"loop16"	807.957856146521	-0.121229123693348	0.127931033506521	-0.947613103486489	0.343326452927621	0.563055382801299
"loop18"	491.008137159062	0.150149714367106	0.15695049106589	0.956669286903163	0.338734204878822	0.563055382801299
"loop21"	520.834635354094	-0.166762871482607	0.166997946573782	-0.99859234741506	0.317992208756008	0.563055382801299
"loop33"	228.934641497063	0.228569308891931	0.229908316769517	0.994175905002476	0.320137236455846	0.563055382801299
"loop54"	169.097952560932	-0.214814613769728	0.217334875049354	-0.98840378802963	0.322954933075502	0.563055382801299
"loop74"	356.4856194416	0.164269457546137	0.185761469983049	0.884303174178839	0.376532575253501	0.605405317074256
"loop27"	131.540548003994	-0.23255883868879	0.27377095908112	-0.84946496688088	0.395622616122497	0.618872398222774
"loop35"	570.102509392063	0.128130052240502	0.152242877595731	0.841616069427833	0.400002891534232	0.618872398222774
"loop66"	212.956626758539	0.158897597974824	0.199420231245837	0.796797782161536	0.425568483380211	0.634483920675951
"loop85"	342.137552586924	-0.14780426032226	0.182526995768822	-0.809766575621834	0.418074346237814	0.634483920675951
"loop34"	240.644022915415	-0.174897635116327	0.23764594107239	-0.735958856806442	0.461755736781079	0.656684789195489
"loop40"	185.616024891585	-0.162080169708962	0.221577582122236	-0.731482707576205	0.464484363089492	0.656684789195489
"loop70"	769.460813631543	-0.108936148787605	0.147962751746366	-0.736240354426098	0.461584437651721	0.656684789195489
"loop11"	398.253181598266	0.110586649001981	0.170491542532178	0.648634221730434	0.516574830310968	0.71795145907626
"loop76"	264.07822241167	-0.165298441912122	0.261028092795155	-0.633259202647748	0.526564390384314	0.719638000191895
"loop29"	129.653978660083	0.156967319157562	0.258912333816511	0.606256630743606	0.544344352785354	0.7216708708631
"loop65"	153.474160624588	-0.141923076510665	0.234860814599077	-0.604285890572839	0.545653585286734	0.7216708708631
"loop28"	143.170641348357	-0.131281058485536	0.241577154262473	-0.543433251734141	0.586831536517987	0.761596247043038
"loop75"	1091.43032575084	0.0575433350133109	0.108073399395988	0.532446793891143	0.594416583057981	0.761596247043038
"loop2"	404.732312333294	-0.0840119604332049	0.164804502499466	-0.509767385957658	0.610214437080271	0.765196343430562
"loop79"	1274.52214668611	-0.0543952198594804	0.108425238481287	-0.501684115445762	0.615889739834355	0.765196343430562
"loop84"	287.883956498755	-0.099831936317455	0.22393230558514	-0.445813015038594	0.655732319623173	0.802538062822391
"loop4"	209.370218112288	-0.0885477344442429	0.207131375041654	-0.427495517887794	0.669018449037663	0.806757541486594
"loop62"	199.933952467294	-0.0734023639590217	0.205666766989695	-0.356899488592143	0.721167052530528	0.857039105905845
"loop15"	248.376446460444	-0.0716961990601126	0.227254926427415	-0.315487986056981	0.752391171411637	0.87787917248374
"loop45"	233.736804281505	0.0686591767340711	0.224868815947718	0.305329916221173	0.760114893248116	0.87787917248374
"loop87"	527.869241195827	-0.0395796680725823	0.152097098815634	-0.260226318455681	0.7946892042051	0.905062704789142
"loop80"	1491.72540221128	0.0241539378713695	0.0991896014446848	0.243512802950816	0.807608168245561	0.907176298577206
"loop13"	279.441222994967	0.0424470915339358	0.206562924897693	0.205492304850733	0.837187509658909	0.927694267459872
"loop61"	138.442651293786	-0.0472033966150717	0.258811098422137	-0.182385519411073	0.855280189051847	0.93510634003002
"loop7"	271.8364354844	-0.0321765212083028	0.201564090009916	-0.159634194794916	0.873169240837213	0.942103654587519
"loop5"	225.568685772587	-0.0241722551329723	0.206627999428685	-0.11698441256658	0.906872405631408	0.953378682843275
"loop57"	126.230515188012	-0.0348058568640415	0.289514760541378	-0.120221355204675	0.904307801456407	0.953378682843275
"loop83"	1022.78140421903	-0.0118076423050385	0.127885280156914	-0.092329956118098	0.926435888475509	0.961616998164452
"loop30"	225.7769607242	0.0148575538631004	0.228521240609613	0.0650160738820855	0.948161202225022	0.971865232280648
"loop20"	813.214616679968	-0.00317232788884551	0.137773080610069	-0.0230257454852444	0.981629736463581	0.981629736463581
"loop23"	285.768446250523	0.00765077697893026	0.223703206947999	0.0342005690634052	0.972717212760829	0.981629736463581
"loop17"	79.3228555871123	0.180751755079659	0.332172516477287	0.544150241556838	0.586338089473741	NA
"loop19"	125.547091584349	0.320778834097392	0.489518598114238	0.655294477744302	0.512278175571484	NA
"loop46"	113.146681327582	0.0641981305847449	0.269574692618955	0.238145984554601	0.811767869982737	NA
"loop63"	116.494924269204	-0.519352597187933	0.276872867963905	-1.87578003221189	0.0606854909558129	NA
"loop64"	107.636889157514	-0.0307570026508596	0.322129613999276	-0.0954802083205201	0.923933409904447	NA
"loop69"	39.9652093789568	-0.802182606491421	0.499402823375789	-1.60628368311766	0.108211593802594	NA
