"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"loop48"	420.838128056605	3.01223461579652	0.17690661504986	17.0272582229191	5.15642248254467e-65	4.53765178463931e-63
"loop50"	253.578197978376	2.50991763259563	0.243620880055222	10.3025554789339	6.8613914018354e-25	3.01901221680758e-23
"loop47"	216.079147022828	2.59318948630632	0.259778418520883	9.98231300764447	1.82169817809663e-23	5.34364798908345e-22
"loop49"	234.958097405343	2.1084986825325	0.242449296598613	8.69665827912558	3.41800782351445e-18	7.51961721173179e-17
"loop39"	797.393446118157	0.825583607183579	0.126590524438833	6.52168565414617	6.95215989518994e-11	1.22358014155343e-09
"loop8"	276.495896677717	-1.0457733642155	0.197451055546416	-5.29636755458956	1.18128947032943e-07	1.7325578898165e-06
"loop58"	212.405797232774	1.10762478048994	0.220106876028109	5.03221344320242	4.84849010614508e-07	6.0952447048681e-06
"loop66"	212.956626758539	1.05824126487925	0.216195882093824	4.89482618554221	9.8392652592187e-07	1.08231917851406e-05
"loop83"	1022.78140421903	-0.609861411576383	0.128892955775286	-4.73153406955478	2.22829408862681e-06	2.17877644221289e-05
"loop36"	996.495804190403	0.535363203748468	0.11690410826563	4.57950718491443	4.66072779043558e-06	4.10144045558331e-05
"loop82"	619.494244295778	-0.672228791245925	0.153621347062001	-4.37588137392531	1.20942779199129e-05	9.67542233593028e-05
"loop42"	567.784407335223	0.623114409581755	0.144305359199461	4.31802680814145	1.57430312409393e-05	0.000115448895766888
"loop65"	153.474160624588	1.10047081099155	0.256025432822838	4.29828708366266	1.72123133904562e-05	0.000116514121412319
"loop81"	363.203858464443	-0.893339783026201	0.208805560596085	-4.27833329953451	1.88297928507532e-05	0.00011835869791902
"loop21"	520.834635354094	-0.702424641998157	0.168972196652018	-4.15704273197521	3.2239370567973e-05	0.000189137640665441
"loop56"	129.620687101807	0.914965694557545	0.246934450515496	3.70529787418272	0.00021114244929281	0.00116128347111046
"loop62"	199.933952467294	-0.750837352777907	0.206941863784755	-3.62825258768747	0.000285346020897363	0.00147708528464517
"loop54"	169.097952560932	0.85638174882512	0.238390191644043	3.59235312039953	0.000327705369127301	0.0016021151379557
"loop16"	807.957856146521	-0.447135239762915	0.13010464089162	-3.43673551303515	0.000588770233273026	0.00272693581726454
"loop52"	333.793631999565	0.671778965906398	0.196461685061932	3.41938920912049	0.000627618846999611	0.00276152292679829
"loop73"	939.291832551749	0.456817043694717	0.137100266556655	3.331992381692	0.000862266166211553	0.0036133058393627
"loop68"	1059.58641554625	-0.379681385727349	0.123937495638981	-3.06349086505127	0.00218770884108838	0.00875083536435352
"loop53"	178.636274620189	0.66815878635072	0.220821306291858	3.02578948368153	0.00247984893461596	0.00948811766287845
"loop7"	271.8364354844	-0.61252195103104	0.203464651723172	-3.01045879883067	0.00260853335265285	0.00956462229306044
"loop71"	1690.13885490722	-0.310965751263784	0.106902698348216	-2.9088671854743	0.00362740926592488	0.0127684806160556
"loop79"	1274.52214668611	-0.315538869956691	0.11051487289046	-2.85517108877686	0.00430136505593262	0.0145584663431565
"loop15"	248.376446460444	-0.646382245893352	0.229555795835958	-2.8157958004914	0.00486565819648465	0.0158584415292833
"loop20"	813.214616679968	-0.367023959643194	0.140040118638477	-2.62084867687588	0.00877111851045969	0.0275663724614447
"loop86"	344.91578780183	-0.430594001001761	0.166991240327574	-2.57854244424497	0.00992181099514688	0.0301075643990664
"loop13"	279.441222994967	-0.522380924093042	0.208896939663598	-2.500663365075	0.0123960946013199	0.0363618774972049
"loop85"	342.137552586924	-0.433237162292609	0.185985651842319	-2.32941174763263	0.019837263318601	0.0563122313560286
"loop55"	182.706053298609	0.650393471826428	0.282766024485159	2.30011180802439	0.0214418864775112	0.0589651878131557
"loop11"	398.253181598266	0.398473256659619	0.179868194111421	2.21536252492078	0.0267351913975022	0.0712938437266725
"loop61"	138.442651293786	-0.572961841762093	0.261317882060167	-2.19258566327341	0.0283372449945458	0.0733434576329421
"loop60"	248.199307974081	0.38767848937082	0.181311273173656	2.1381929682856	0.0325010848548905	0.0817170133494389
"loop75"	1091.43032575084	-0.2331873256072	0.110328095605925	-2.11358062809413	0.0345511018530436	0.0844582489741065
"loop1"	582.169040589598	-0.303663773611305	0.148739514290274	-2.04158104899205	0.0411931067193324	0.0977565333701694
"loop37"	192.050679442343	-0.531085575422036	0.26143644807823	-2.03141367367078	0.042213048500755	0.0977565333701694
"loop67"	944.899843303285	-0.251712421579428	0.127293846551023	-1.97741232902829	0.0479950414870287	0.108296503868167
"loop77"	364.457907965559	0.328187522986827	0.172921563483726	1.89789819369585	0.0577094943695794	0.126960887613075
"loop59"	134.949636772868	0.447142193114708	0.242590516404447	1.84319733410037	0.0653002039989109	0.140156535412297
"loop22"	652.150176883556	-0.261896992333327	0.148171973109605	-1.76752044828072	0.0771411075731284	0.161628987296079
"loop70"	769.460813631543	-0.261933051770365	0.151477094571591	-1.72919247303473	0.0837746530421777	0.171445801574689
"loop76"	264.07822241167	-0.452149003731004	0.265450916195302	-1.70332432907612	0.088507390073147	0.177014780146294
"loop6"	439.251583028774	-0.281155526466174	0.166348381955143	-1.69016087299238	0.0909971816365528	0.177950044089259
"loop57"	126.230515188012	0.503399494640251	0.302905408162959	1.66190329084329	0.0965321667632974	0.184670232068917
"loop12"	463.299817720195	0.289836911664644	0.176934211957066	1.63810553345655	0.101399680891536	0.186963566086197
"loop63"	116.494924269204	-0.465529755878793	0.284670421698632	-1.63532885889925	0.101980126956107	0.186963566086197
"loop2"	404.732312333294	-0.269550693424286	0.168897189785052	-1.59594540185856	0.110500983682422	0.198450746205166
"loop5"	225.568685772587	-0.333312145688978	0.210859394638163	-1.5807317775001	0.113939379261219	0.200533307499746
"loop10"	522.78344279727	-0.262278587483272	0.172338551133186	-1.52187996103425	0.128039161110572	0.220930317210399
"loop38"	409.401066035889	0.279036575104346	0.191518358929019	1.45697037435331	0.14512455820716	0.245595406196733
"loop41"	331.664577772903	0.308986396169386	0.222059804819725	1.39145576760383	0.164087263747336	0.26740146684751
"loop51"	344.493822538607	0.28692294398767	0.205581597929865	1.39566452871699	0.162815540674309	0.26740146684751
"loop27"	131.540548003994	-0.38160967940164	0.280211872079581	-1.36186121083857	0.173241689641563	0.277186703426502
"loop35"	570.102509392063	0.213453787033274	0.158204869703258	1.34922387303023	0.177265068971363	0.278559394097856
"loop72"	532.446222645708	-0.192603739352551	0.146374991593592	-1.31582408480891	0.18823309348788	0.290605477665498
"loop80"	1491.72540221128	-0.128739389905262	0.10135098276545	-1.27023326654064	0.204001551124188	0.309519594809113
"loop4"	209.370218112288	-0.261466801244755	0.2115707439445	-1.23583628043272	0.216519426142661	0.313316170391694
"loop33"	228.934641497063	0.289187680075506	0.23798363409646	1.21515784551088	0.224305894712236	0.313316170391694
"loop69"	39.9652093789568	-0.639233426629558	0.512703444643454	-1.24678980277594	0.212474580469689	0.313316170391694
"loop84"	287.883956498755	-0.279983415305509	0.22803177625351	-1.22782631397057	0.219512175349832	0.313316170391694
"loop88"	458.725990742247	0.221144369615871	0.181269045925817	1.2199786703041	0.222472960796719	0.313316170391694
"loop87"	527.869241195827	-0.188215406145217	0.15629650415812	-1.20422019135377	0.228504483820523	0.314193665253219
"loop30"	225.7769607242	-0.270309214716133	0.233426997089646	-1.15800322193376	0.246862721585327	0.33421414614629
"loop26"	148.093553755812	0.265035159786954	0.231469574367723	1.14501078818207	0.252204688480417	0.33627291797389
"loop9"	461.581255244645	0.195809467091848	0.180318138627232	1.08591109348484	0.27751832841139	0.364501685077647
"loop74"	356.4856194416	0.205695884982642	0.193290494046709	1.06418003635986	0.287247148943092	0.37173160451459
"loop64"	107.636889157514	0.307831482734332	0.334085844573132	0.921414324296362	0.356834152980176	0.455092832786312
"loop46"	113.146681327582	0.247951033851974	0.279724569729669	0.886411351321761	0.375395904581052	0.471926280044752
"loop32"	283.110152063725	-0.162980513476489	0.204091960744269	-0.798564102584648	0.424543209596558	0.52619440062672
"loop43"	499.547995647932	-0.128369801275049	0.182988111287398	-0.701519898598402	0.482978620935608	0.590307203365743
"loop29"	129.653978660083	0.162517638724396	0.268632638687018	0.604980986371294	0.54519163027336	0.657217307726789
"loop14"	275.787904027387	-0.126770259352997	0.224691728083031	-0.564196378898966	0.572620491929013	0.671874710530042
"loop25"	259.451145732969	-0.130595104469463	0.229793849440261	-0.568314185899976	0.56982164817948	0.671874710530042
"loop19"	125.547091584349	0.249534163332162	0.494547175133017	0.504571001270093	0.613860181764637	0.710785473622211
"loop3"	883.340249057532	-0.0517164996952535	0.12955109828279	-0.399197694043197	0.689747542202077	0.750549116993105
"loop24"	356.021201978746	0.0691032316821001	0.173754225116178	0.397706770214625	0.690846346323199	0.750549116993105
"loop31"	378.84126458945	0.0718796128585433	0.17547939738631	0.409618530318425	0.682085801590189	0.750549116993105
"loop34"	240.644022915415	-0.0987317903225515	0.244584750709243	-0.403671079395794	0.686454609271033	0.750549116993105
"loop44"	504.510494499684	-0.0707635854837647	0.166780327514244	-0.424292160463116	0.671352755832612	0.750549116993105
"loop40"	185.616024891585	-0.0565160209748508	0.228846267817439	-0.246960640930951	0.804938684715917	0.853428966927719
"loop45"	233.736804281505	-0.058896520297841	0.230417684071069	-0.255607639384463	0.798253818951585	0.853428966927719
"loop78"	661.694685559885	0.0208015593768769	0.128330203773621	0.162094025920597	0.871231810609189	0.912719039685818
"loop17"	79.3228555871123	-0.0332611157700438	0.339459739352643	-0.0979825054761234	0.921946185122597	0.954485462244571
"loop28"	143.170641348357	-0.0177279129076076	0.251171178540735	-0.070580999820935	0.943731232639807	0.965678470608174
"loop18"	491.008137159062	-0.00434601595600519	0.161275187925057	-0.0269478275729851	0.978501346465249	0.986013093390281
"loop23"	285.768446250523	-0.00401973260207382	0.229294324714481	-0.0175308857167713	0.986013093390281	0.986013093390281
