"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	1543	186.676
"Ci_1_dCTCF"	"values"	2	1049	103.238
"Prom_wt"	"values"	2	3058	319.612
"Prom_dCTCF"	"values"	2	2738.5	304.763
"C1_dprom_wt"	"values"	2	2111	313.955
"C1_dprom_dCTCF"	"values"	2	1832	340.825
"C2_wt"	"values"	2	2464.5	352.846
"C2_dCTCF"	"values"	2	1444.5	61.518
"C3_wt"	"values"	2	1490.5	65.761
"C3_dCTCF"	"values"	2	375.5	65.761
"C4_enhA_wt"	"values"	2	3384.5	255.266
"C4_enhA_dCTCF"	"values"	2	1099.5	224.153
"C5_Badj_wt"	"values"	2	683.5	77.075
"C5_Badj_dCTCF"	"values"	2	372.5	105.359
"C6_enhB_wt"	"values"	2	1170.5	178.898
"C6_enhB_dCTCF"	"values"	2	940	76.368
"controlPeak1_wt"	"values"	2	1490	74.953
"controlPeak1_dCTCF"	"values"	2	1606.5	251.023
"controlPeak2_wt"	"values"	2	2923	29.698
"controlPeak2_dCTCF"	"values"	2	3517	82.024
"controlPeak3_wt"	"values"	2	3133	98.995
"controlPeak3_dCTCF"	"values"	2	3538.5	494.268
