"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"loop48"	420.838128056605	0.846239953446372	0.155923465100345	5.42727775387606	5.72200481927019e-08	5.03536424095777e-06
"loop65"	153.474160624588	1.00730956227489	0.275701875397627	3.65361882584989	0.000258570042302697	0.0113770818613187
"loop58"	212.405797232774	0.779274956822148	0.232481742199786	3.351983469534	0.000802348093981177	0.0235355440901145
"loop7"	271.8364354844	-0.689354400866717	0.211122950383486	-3.26517983769442	0.00109394597336236	0.024066811413972
"loop50"	253.578197978376	0.627635740273434	0.216145896040348	2.9037596908908	0.00368711046511268	0.0540776201549859
"loop81"	363.203858464443	-0.648442526456165	0.219264530766521	-2.95735258315284	0.00310293081766617	0.0540776201549859
"loop20"	813.214616679968	-0.402651586240654	0.145946905940155	-2.75889086957252	0.00579978995869028	0.0567090573738605
"loop42"	567.784407335223	0.424345623493952	0.150355066484473	2.82229015234265	0.00476820157838689	0.0567090573738605
"loop47"	216.079147022828	0.63709095877055	0.230809770972706	2.7602425845563	0.00577584556257119	0.0567090573738605
"loop79"	1274.52214668611	-0.304475540835709	0.115506185168238	-2.63601070706501	0.0083887084507423	0.0671096676059384
"loop83"	1022.78140421903	-0.35654696400615	0.135198024614025	-2.63722021844662	0.0083588547084739	0.0671096676059384
"loop21"	520.834635354094	-0.471285260122643	0.181468062771635	-2.59706999085411	0.0094022763362354	0.0689500264657262
"loop10"	522.78344279727	0.452051569632718	0.19112105913854	2.36526299964168	0.0180172710249882	0.12196306539992
"loop2"	404.732312333294	-0.366728768764745	0.176815276187334	-2.0740785336681	0.0380720178478913	0.23930982647246
"loop51"	344.493822538607	0.417873875989531	0.218292733853665	1.91428211380438	0.0555841185700342	0.314239241763475
"loop66"	212.956626758539	0.420696396461508	0.221153636860465	1.90228115817486	0.057134407593359	0.314239241763475
"loop12"	463.299817720195	0.334991841846174	0.189701518704849	1.76588908793808	0.0774144582565556	0.332763068862737
"loop26"	148.093553755812	0.454648390757628	0.252375848003142	1.8014734545913	0.0716282876219768	0.332763068862737
